"section","project_message_id","distance"
"27.3.1 Relationship of Parties","b118bc3e-4ee3-4873-b9cb-4c95b8e89e66","0.5017420053482056"
"4.1 DB ENTITY RESPONSIBILITIES","b118bc3e-4ee3-4873-b9cb-4c95b8e89e66","0.4971858263015747"
"27.12 FURTHER ASSURANCES","45f38016-5285-4522-805c-d24dd90ebb4d","0.35915178060531616"
"27.9 SURVIVAL","38ff080c-8356-4cc5-829f-979f14383d97","0.5416997671127319"
"27.4 ASSIGNMENT; CHANGE IN CONTROL","38ff080c-8356-4cc5-829f-979f14383d97","0.5273748636245728"
"27.1 AMENDMENTS TO CONTRACT DOCUMENTS AND CONTRACTING AUTHORITY LEVELS","38ff080c-8356-4cc5-829f-979f14383d97","0.5249834656715393"
"1.2 ORDER OF PRECEDENCE","38ff080c-8356-4cc5-829f-979f14383d97","0.520774781703949"
"1.3.1 General","38ff080c-8356-4cc5-829f-979f14383d97","0.5197904706001282"
"SECTION 1. COMPONENTS; INTERPRETATION OF CONTRACT DOCUMENTS; STANDARDS","ad4bc84f-cd4c-48f8-8a18-f7b0d449e21e","0.515430212020874"
"1.2 ORDER OF PRECEDENCE","ad4bc84f-cd4c-48f8-8a18-f7b0d449e21e","0.493283748626709"
"CSX TRANSPORTATION:","ad4bc84f-cd4c-48f8-8a18-f7b0d449e21e","0.47982659935951233"
"15.7.1 Site Investigation and Due Diligence Activities","ad4bc84f-cd4c-48f8-8a18-f7b0d449e21e","0.47829514741897583"
"12.8 INADEQUACY OR UNAVAILABILITY OF REQUIRED COVERAGES","ad4bc84f-cd4c-48f8-8a18-f7b0d449e21e","0.4768632650375366"
"1l.2 GUARANTY","d71a779f-4227-4970-a19c-1a60dba8c0a0","0.538979172706604"
"Execution Version","d71a779f-4227-4970-a19c-1a60dba8c0a0","0.5363336205482483"
"1.2 ORDER OF PRECEDENCE","d71a779f-4227-4970-a19c-1a60dba8c0a0","0.5289459228515625"
"27.9 SURVIVAL","d71a779f-4227-4970-a19c-1a60dba8c0a0","0.5139977335929871"
"27.19 ENTIRE CONTRACT","d71a779f-4227-4970-a19c-1a60dba8c0a0","0.5021912455558777"
"2.8 DB ENTITY OBLIGATIONS","1a1d2d35-b78d-45c7-a5ef-f4c98ed0df48","0.5888506174087524"
"9.20 ADJACENT CONTRACTS","1a1d2d35-b78d-45c7-a5ef-f4c98ed0df48","0.5792259573936462"
"9.2 SUPERVISION AND CONSTRUCTION PROCEDURES","1a1d2d35-b78d-45c7-a5ef-f4c98ed0df48","0.5708827972412109"
"13.2 RESPONSIBILITY FOR LOSS OR DAMAGE","1a1d2d35-b78d-45c7-a5ef-f4c98ed0df48","0.5646734237670898"
"3.2.3 Previous GLX Contract Improvements","1a1d2d35-b78d-45c7-a5ef-f4c98ed0df48","0.5643750429153442"
"22.2 DB ENTITY REPRESENTATIONS AND WARRANTIES","b118bc3e-4ee3-4873-b9cb-4c95b8e89e66","0.4925858974456787"
"25.4.1 Record Retention under Massachusetts Law","b118bc3e-4ee3-4873-b9cb-4c95b8e89e66","0.4902894198894501"
"13.1 TITLE","b118bc3e-4ee3-4873-b9cb-4c95b8e89e66","0.48750191926956177"
"GLX Procurement","09b137d9-93dc-44d7-9b30-81b3773b4fdd","0.3969332277774811"
